"PLT_CN","SPCD","SEED.PRES","fire.sev","PREV_BAH","ECOSUBCD","mult.comp.coexist","MAT_ref_mean","MAT_maxanom","MAT_maxanom.z","MAT_maxanom_2050","MAT_maxanom_2050.z","MAT_maxanom_2080","MAT_maxanom_2080.z","CMD_ref_mean","CMD_maxanom","CMD_maxanom.z","CMD_maxanom_2050","CMD_maxanom_2050.z","CMD_maxanom_2080","CMD_maxanom_2080.z"
216960702020004,19,1,0,21.96773678,"M332Ge","reassembly",3.44193548387097,1.25806451612903,1.72399709626994,2.75806451612903,3.77953209566872,4.55806451612903,6.24617409494725,236.645161290323,76.3548387096774,1.03278100919329,66.3548387096774,0.897520294005323,105.354838709677,1.4250370832384
216960702020004,93,0,0,21.96773678,"M332Ge","reassembly",3.44193548387097,1.25806451612903,1.72399709626994,2.75806451612903,3.77953209566872,4.55806451612903,6.24617409494725,236.645161290323,76.3548387096774,1.03278100919329,66.3548387096774,0.897520294005323,105.354838709677,1.4250370832384
216960724020004,19,1,0,13.64638761,"M242De","reassembly",3.10967741935484,1.59032258064516,2.08657178925881,2.69032258064516,3.5298192134723,4.59032258064516,6.02270112802289,285.064516129032,49.9354838709677,0.696515364769116,95.9354838709677,1.33813739975669,143.935483870968,2.00765604496111
216960724020004,93,0,0,13.64638761,"M242De","reassembly",3.10967741935484,1.59032258064516,2.08657178925881,2.69032258064516,3.5298192134723,4.59032258064516,6.02270112802289,285.064516129032,49.9354838709677,0.696515364769116,95.9354838709677,1.33813739975669,143.935483870968,2.00765604496111
216960907020004,19,1,0,13.71262054,"M242Be","resilience",5.16451612903226,2.03548387096774,3.07432259187224,2.23548387096774,3.37639549313385,4.03548387096774,6.09505160448838,432.225806451613,103.774193548387,1.47745451611778,77.7741935483871,1.10728717387627,108.774193548387,1.54864054347192
216960907020004,93,1,0,13.71262054,"M242Be","resilience",5.16451612903226,2.03548387096774,3.07432259187224,2.23548387096774,3.37639549313385,4.03548387096774,6.09505160448838,432.225806451613,103.774193548387,1.47745451611778,77.7741935483871,1.10728717387627,108.774193548387,1.54864054347192
216960990020004,19,1,0,15.31958103,"M242Bc","reassembly",4.61612903225806,0.983870967741935,1.58346402923963,2.28387096774194,3.67571322197265,4.08387096774193,6.57267364267991,187.645161290323,55.3548387096774,0.915541518636623,54.3548387096774,0.89900201567757,97.3548387096774,1.61020064291686
216960990020004,93,1,0,15.31958103,"M242Bc","reassembly",4.61612903225806,0.983870967741935,1.58346402923963,2.28387096774194,3.67571322197265,4.08387096774193,6.57267364267991,187.645161290323,55.3548387096774,0.915541518636623,54.3548387096774,0.89900201567757,97.3548387096774,1.61020064291686
216961042020004,19,0,1,13.03165502,"M242Dd","replacement",2.26129032258065,1.53870967741935,1.97478595888613,2.73870967741935,3.51487060606776,4.63870967741935,5.95333796410534,239.193548387097,39.8064516129032,0.527788447199617,80.8064516129032,1.07140199370749,130.806451612903,1.73434534310733
216961042020004,93,0,1,13.03165502,"M242Dd","replacement",2.26129032258065,1.53870967741935,1.97478595888613,2.73870967741935,3.51487060606776,4.63870967741935,5.95333796410534,239.193548387097,39.8064516129032,0.527788447199617,80.8064516129032,1.07140199370749,130.806451612903,1.73434534310733
216961124020004,19,1,0,17.21783497,"M332Gl","restructuring",4.17741935483871,1.42258064516129,1.98461888223167,2.92258064516129,4.07724423424466,4.72258064516129,6.58839465666026,355.41935483871,99.5806451612903,1.32804280219915,95.5806451612903,1.27469738351671,150.58064516129,2.00819689040028
216961124020004,93,0,0,17.21783497,"M332Gl","restructuring",4.17741935483871,1.42258064516129,1.98461888223167,2.92258064516129,4.07724423424466,4.72258064516129,6.58839465666026,355.41935483871,99.5806451612903,1.32804280219915,95.5806451612903,1.27469738351671,150.58064516129,2.00819689040028
216961337020004,19,1,1,15.00343055,"M242Dd","replacement",2.22903225806452,1.37096774193548,1.77267775462974,2.67096774193548,3.45359336666689,4.57096774193548,5.91031618425963,229,56,0.861796869361109,96,1.4773660617619,142,2.18527063302281
216961337020004,93,0,1,15.00343055,"M242Dd","replacement",2.22903225806452,1.37096774193548,1.77267775462974,2.67096774193548,3.45359336666689,4.57096774193548,5.91031618425963,229,56,0.861796869361109,96,1.4773660617619,142,2.18527063302281
216961338020004,19,1,0,4.256562323,"M242Db","replacement",5.71935483870968,1.48064516129032,2.15910088558074,2.68064516129032,3.90896042683572,4.48064516129032,6.53374973871819,341.193548387097,59.8064516129032,0.879700591607926,105.806451612903,1.55632035624272,152.806451612903,2.24764924619565
